"","human_gene","zebarfish_gene"
"770","CRISPLD1","CU914487.1"
"771","GGT1","CU914631.1"
"772","HLA-DQA2","CU914776.2"
"773","ENG","CU927890.1"
"774","SNORA79","CU929079.2"
"775","SCARNA6","CU929115.1"
"776","SCARNA6","CU929115.2"
"777","TSHB","CU929146.3"
"778","PLSCR2","CU929150.2"
"779","AP3B1","CU929160.1"
"780","FUT5","CU929199.1"
"781","CDC42BPG","CU929346.1"
"782","ZNF32","CU929391.3"
"783","LRRN4CL","CU984579.1"
"784","PTGFRN","CU984600.1"
"785","CYP27A1","CYP27A1"
"786","CYTH2","CYTH2"
"787","CYTH3","CYTH3"
"788","CYTL1","CYTL1"
"789","ZFP41","CZQB01141835.1"
"790","DAB2","DAB2"
"791","DDX17","DDX17"
"792","DEPDC4","DEPDC4"
"793","DGKD","DGKD"
"794","DGKI","DGKI"
"795","DHDH","DHDH"
"796","DHX35","DHX35"
"797","DISP3","DISP3"
"798","DMWD","DMWD"
"799","DMXL1","DMXL1"
"800","DNAH10","DNAH10"
"801","DNAI3","DNAI3"
"802","DOCK4","DOCK4"
"803","DOCK9","DOCK9"
"804","DRD5","DRD5"
"805","DTX1","DTX1"
"806","DTX3","DTX3"
"807","DUSP26","DUSP26"
"808","DXO","DXO"
"809","DYNC2H1","DYNC2H1"
"810","EARS2","EARS2"
"811","EFEMP1","EFEMP1"
"812","EGFLAM","EGFLAM"
"813","EIF2AK4","EIF2AK4"
"814","EIF3J","EIF3J"
"815","ELAPOR1","ELAPOR1"
"816","ELAPOR2","ELAPOR2"
"817","ELFN2","ELFN2"
"818","ELOB","ELOB"
"819","EMC7","EMC7"
"820","EML4","EML4"
"821","EML5","EML5"
"822","EML6","EML6"
"823","EMP3","EMP3"
"824","ENKD1","ENKD1"
"825","EPB41L2","EPB41L2"
"826","EPHB3","EPHB3"
"827","ERBB4","ERBB4"
"828","ERC1","ERC1"
"829","ERG28","ERG28"
"830","EVI5L","EVI5L"
"831","F2R","F2R"
"832","F2RL2","F2RL2"
"833","F2RL3","F2RL3"
"834","FADS6","FADS6"
"835","FAM107A","FAM107A"
"836","FAM124A","FAM124A"
"837","FAM135B","FAM135B"
"838","FAM163A","FAM163A"
"839","FAM163B","FAM163B"
"840","FAM167A","FAM167A"
"841","FAM177A1","FAM177A1"
"842","FAM180B","FAM180A"
"843","FAM184A","FAM184A"
"844","FAM222A","FAM222A"
"845","FAM53C","FAM53C"
"846","FAM72C","FAM72B"
"847","FAM83G","FAM83G"
"848","FAR2","FAR2"
"849","FAT4","FAT4"
"850","FBXO46","FBXO46"
"851","FBXO48","FBXO48"
"852","FEZ2","FEZ2"
"853","FH","FH"
"854","FIBCD1","FIBCD1"
"855","FIG4","FIG4"
"856","FLNB","FLNB"
"857","FNDC10","FNDC10"
"858","FNIP2","FNIP2"
"859","CCDC69","FO082779.1"
"860","MEX3A","FO082781.1"
"861","MFAP4","FO203432.1"
"862","CPXM2","FO704607.1"
"863","IFI44L","FO704622.1"
"864","NLRP10","FO704635.1"
"865","RNU4ATAC11P","FO704721.2"
"866","PRKD2","FO704748.1"
"867","SCARNA16","FO704764.1"
"868","EIF3H","FO704771.1"
"869","SAMD14","FO704786.1"
"870","SLC25A45","FO704822.1"
"871","PARP15","FO744833.1"
"872","PARP15","FO744833.2"
"873","MYOZ2","FO818704.1"
"874","FANCA","FO834799.1"
"875","RNF31","FO834800.1"
"876","RNF31","FO834800.2"
"877","GEN1","FO834823.1"
"878","ITPR3","FO834850.1"
"879","NRTN","FO834855.1"
"880","TGIF2","FO834857.1"
"881","DPYSL2","FO904844.1"
"882","ART4","FO904885.1"
"883","ART4","FO904885.2"
"884","SLC29A2","FO905040.1"
"885","CHRFAM7A","FO907089.1"
"886","ART4","FO907110.1"
"887","FOXK2","FOXK2"
"888","FOXL3","FOXL3"
"889","FOXN2","FOXN2"
"890","SNORA3A","FP074902.3"
"891","SNORA3A","FP074902.4"
"892","SNORA3A","FP074902.5"
"893","TMEM268","FP085398.1"
"894","SNORD52","FP101887.2"
"895","SNORD52","FP101887.3"
"896","SNORD52","FP101887.4"
"897","SNORD52","FP101887.5"
"898","LTBP3","FP102018.1"
"899","KNDC1","FP102122.1"
"900","FAM111A","FP102192.1"
"901","RNA5SP531","FP102277.1"
"902","SNORD53","FP102895.3"
"903","SNORA71","FP236318.1"
"904","SNORA71","FP236318.2"
"905","SRPK2","FP236318.3"
"906","SRPK2","FP236318.4"
"907","MIR150","FP236454.1"
"908","CLDN34","FP236735.1"
"909","UGT2A3","FP236810.1"
"910","UGT2A3","FP236810.2"
"911","H3C15","FP325123.1"
"912","FLNB","FP325130.1"
"913","SLC16A2","FQ311908.1"
"914","CCNO","FQ311924.1"
"915","EMILIN3","FQ323119.1"
"916","EPHB1","FQ377603.1"
"917","TRIM16","FQ377660.1"
"918","GCC2","FQ377903.3"
"919","RFTN1","FQ976914.1"
"920","FRMD1","FRMD1"
"921","FRMD4A","FRMD4A"
"922","FRMD5","FRMD5"
"923","FRMD7","FRMD7"
"924","FUT9","FUT9"
"925","G3BP2","G3BP2"
"926","GAA","GAA"
"927","GABRB2","GABRB2"
"928","GABRR1","GABRR1"
"929","GADD45G","GADD45G"
"930","GALNT10","GALNT10"
"931","GALNT3","GALNT3"
"932","GALNTL6","GALNTL6"
"933","GAN","GAN"
"934","GANAB","GANAB"
"935","GARNL3","GARNL3"
"936","GARRE1","GARRE1"
"937","GBGT1","GBGT1"
"938","GCA","GCA"
"939","GCNT4","GCNT4"
"940","GDPGP1","GDPGP1"
"941","GFOD1","GFOD1"
"942","GFUS","GFUS"
"943","GGT7","GGT7"
"944","GID4","GID4"
"945","GJD2","GJD2"
"946","GJE1","GJE1"
"947","GM2A","GM2A"
"948","GMEB2","GMEB2"
"949","GNA12","GNA12"
"950","GNAZ","GNAZ"
"951","GNB4","GNB4"
"952","GNG12","GNG12"
"953","GNG4","GNG4"
"954","GNPAT","GNPAT"
"955","GPATCH2","GPATCH2"
"956","GPR141","GPR141"
"957","GPR151","GPR151"
"958","GPR161","GPR161"
"959","GPR180","GPR180"
"960","GPR45","GPR45"
"961","GPR68","GPR68"
"962","GPR89A","GPR89B"
"963","GRB14","GRB14"
"964","GRIK2","GRIK2"
"965","GRIK3","GRIK3"
"966","GRIN2B","GRIN2B"
"967","GTPBP8","GTPBP8"
"968","GUCA1A","GUCA1A"
"969","GUCY1A2","GUCY1A2"
"970","H2BK1","H2BK1"
"971","HACD4","HACD4"
"972","HAPLN1","HAPLN1"
"973","HECTD4","HECTD4"
"974","HECW1","HECW1"
"975","HEPACAM","HEPACAM"
"976","HMBOX1","HMBOX1"
"977","HNRNPLL","HNRNPLL"
"978","HOOK3","HOOK3"
"979","HPDL","HPDL"
"980","HTR7","HTR7"
"981","HTRA2","HTRA2"
"982","HTRA3","HTRA3"
"983","HUS1B","HUS1B"
"984","HYCC2","HYCC2"
"985","IGLON5","IGLON5"
"986","INHBB","INHBB"
"987","INSM2","INSM2"
"988","INSYN2A","INSYN2A"
"989","INTS15","INTS15"
"990","IPO13","IPO13"
"991","IQSEC1","IQSEC1"
"992","ISCU","ISCU"
"993","ITLN1","ITLN1"
"994","ITPRIP","ITPRIP"
"995","IYD","IYD"
"996","JMJD8","JMJD8"
"997","JMY","JMY"
"998","JPH3","JPH3"
"999","KCNAB3","KCNAB3"
"1000","KCNB2","KCNB2"
"1001","KCNH2","KCNH2"
"1002","KCNIP1","KCNIP1"
"1003","KCNIP4","KCNIP4"
"1004","KCNJ10","KCNJ10"
"1005","KCNJ15","KCNJ15"
"1006","KCNJ6","KCNJ6"
"1007","KCNK12","KCNK12"
"1008","KCNMA1","KCNMA1"
"1009","KCNMB2","KCNMB2"
"1010","KCNT1","KCNT1"
"1011","KCNV1","KCNV1"
"1012","KCTD15","KCTD15"
"1013","KCTD20","KCTD20"
"1014","KCTD5","KCTD5"
"1015","KDELR3","KDELR3"
"1016","KHDRBS3","KHDRBS3"
"1017","KICS2","KICS2"
"1018","KIF1C","KIF1C"
"1019","KIF2A","KIF2A"
"1020","KIRREL3","KIRREL3"
"1021","KLHL12","KLHL12"
"1022","KLHL28","KLHL28"
"1023","KLHL29","KLHL29"
"1024","KYAT3","KYAT3"
"1025","LAMP5","LAMP5"
"1026","LCT","LCT"
"1027","LECT2","LECT2"
"1028","LEPROTL1","LEPROTL1"
"1029","LHX3","LHX3"
"1030","LHX6","LHX6"
"1031","LIMD2","LIMD2"
"1032","LIN28A","LIN28A"
"1033","SCARNA15","LO016980.1"
"1034","EPHB3","LO016987.2"
"1035","CDH10","LO017650.1"
"1036","SORCS1","LO017711.1"
"1037","TNPO2","LO017722.1"
"1038","TMEM245","LO017771.1"
"1039","MARK1","LO017802.1"
"1040","NCOA7","LO017815.1"
"1041","TEX47","LO017829.1"
"1042","TP53INP2","LO017835.1"
"1043","REPS2","LO017845.1"
"1044","TARS3","LO017852.1"
"1045","CACNA1I","LO017974.1"
"1046","AP1M2","LO018011.1"
"1047","DOCK2","LO018106.1"
"1048","DOCK2","LO018106.2"
"1049","RNU6-8","LO018113.1"
"1050","SYNPO","LO018188.1"
"1051","SLC39A8","LO018202.1"
"1052","GABRA2","LO018287.1"
"1053","RNU6-545P","LO018289.2"
"1054","EGFR","LO018309.1"
"1055","MMP1","LO018336.1"
"1056","ADAMTSL4","LO018340.1"
"1057","ACSL1","LO018363.1"
"1058","ACSL1","LO018363.2"
"1059","SLC2A3","LO018422.1"
"1060","PLD4","LO018432.1"
"1061","RYR3","LO018437.2"
"1062","RAB31","LO018490.1"
"1063","FCAMR","LO018493.2"
"1064","PIEZO2","LO018508.1"
"1065","DOCK2","LO018564.1"
"1066","CHRNA9","LO018568.1"
"1067","APBB2","LO018568.2"
"1068","PLA2G4C","LO018584.1"
"1069","GRIK5","LO018585.2"
"1070","FCAMR","LO018597.1"
"1071","FCAMR","LO018597.2"
"1072","RELN","LO018598.1"
"1073","AGL","LO018627.1"
"1074","HECW2","LO018629.1"
"1075","LOXL4","LOXL4"
"1076","LPL","LPL"
"1077","LRFN2","LRFN2"
"1078","LRRC56","LRRC56"
"1079","LRRC75A","LRRC75A"
"1080","LRRTM4","LRRTM4"
"1081","LSM10","LSM10"
"1082","LSM2","LSM2"
"1083","PTK7","LT631676.1"
"1084","LTN1","LTN1"
"1085","LYRM4","LYRM4"
"1086","MACIR","MACIR"
"1087","MAF1","MAF1"
"1088","MAGI3","MAGI3"
"1089","MAJIN","MAJIN"
"1090","MAN1C1","MAN1C1"
"1091","MANEAL","MANEAL"
"1092","MAP3K11","MAP3K11"
"1093","MAP3K13","MAP3K13"
"1094","MAPK8IP1","MAPK8IP1"
"1095","MARF1","MARF1"
"1096","MATCAP1","MATCAP1"
"1097","MATCAP2","MATCAP2"
"1098","MCHR2","MCHR2"
"1099","MCMDC2","MCMDC2"
"1100","MCOLN3","MCOLN3"
"1101","MCUR1","MCUR1"
"1102","MDFI","MDFI"
"1103","MDFIC","MDFIC"
"1104","MDFIC2","MDFIC2"
"1105","MED9","MED9"
"1106","MEP1B","MEP1B"
"1107","METTL18","METTL18"
"1108","METTL21C","METTL21C"
"1109","METTL21EP","METTL21EP"
"1110","METTL23","METTL23"
"1111","MFAP4","MFAP4"
"1112","MFF","MFF"
"1113","MFN1","MFN1"
"1114","MFSD3","MFSD3"
"1115","MGARP","MGARP"
"1116","MGAT5B","MGAT5B"
"1117","MINAR1","MINAR1"
"1118","MIR199B","MIR199B"
"1119","MIR206","MIR206"
"1120","MIR23B","MIR23B"
"1121","MIR29A","MIR29A"
"1122","MIR363","MIR363"
"1123","MIR96","MIR96"
"1124","MMP23B","MMP23B"
"1125","MPC2","MPC2"
"1126","MRAS","MRAS"
"1127","MRPL49","MRPL49"
"1128","MRPS12","MRPS12"
"1129","MSANTD2","MSANTD2"
"1130","MSMP","MSMP"
"1131","MTERF4","MTERF4"
"1132","MTFP1","MTFP1"
"1133","MTRFR","MTRFR"
"1134","MYADM","MYADM"
"1135","MYG1","MYG1"
"1136","MYO1D","MYO1D"
"1137","MYO7B","MYO7B"
"1138","MYO9B","MYO9B"
"1139","MYORG","MYORG"
"1140","MZT1","MZT1"
"1141","NABP2","NABP2"
"1142","NAMPT","NAMPT"
"1143","NAV1","NAV1"
"1144","NCAM2","NCAM2"
"1145","NCEH1","NCEH1"
"1146","NCKAP1L","NCKAP1L"
"1147","NDUFAF8","NDUFAF8"
"1148","NDUFB1","NDUFB1"
"1149","NFX1","NFX1"
"1150","NHLRC3","NHLRC3"
"1151","NINJ1","NINJ1"
"1152","NOX4","NOX4"
"1153","NPAS3","NPAS3"
"1154","NPAS4","NPAS4"
"1155","NPC1L1","NPC1L1"
"1156","NPC2","NPC2"
"1157","NPFFR2","NPFFR2"
"1158","NRXN2","NRXN2"
"1159","NUP85","NUP85"
"1160","OLFML2A","OLFML2A"
"1161","OSBP2","OSBP2"
"1162","OSBPL8","OSBPL8"
"1163","OSCP1","OSCP1"
"1164","OTOP1","OTOP1"
"1165","OTUD7A","OTUD7A"
"1166","P2RY14","P2RY14"
"1167","PAMR1","PAMR1"
"1168","PAOX","PAOX"
"1169","PAQR9","PAQR9"
"1170","PARD3","PARD3"
"1171","PARL","PARL"
"1172","PCDH8","PCDH8"
"1173","PCMTD2","PCMTD2"
"1174","PCNP","PCNP"
"1175","PCP4","PCP4"
"1176","PDCL3","PDCL3"
"1177","PDE1C","PDE1C"
"1178","PDE6G","PDE6G"
"1179","PDE9A","PDE9A"
"1180","PDPR","PDPR"
"1181","PDZD4","PDZD4"
"1182","PEBP4","PEBP4"
"1183","PHF21B","PHF21B"
"1184","PIEZO2","PIEZO2"
"1185","PIGG","PIGG"
"1186","PITPNC1","PITPNC1"
"1187","PITPNM2","PITPNM2"
"1188","PKHD1L1","PKHD1L1"
"1189","PKN2","PKN2"
"1190","PLBD1","PLBD1"
"1191","PLBD2","PLBD2"
"1192","PLCB1","PLCB1"
"1193","PLCB2","PLCB2"
"1194","PLCB4","PLCB4"
"1195","PLEKHB1","PLEKHB1"
"1196","PLEKHH3","PLEKHH3"
"1197","PLPP1","PLPP1"
"1198","PLPP7","PLPP7"
"1199","PLXNA1","PLXNA1"
"1200","POLR2E","POLR2E"
"1201","PPEF2","PPEF2"
"1202","PPM1K","PPM1K"
"1203","PPP2CA","PPP2CA"
"1204","PPT2","PPT2"
"1205","PRDM15","PRDM15"
"1206","PRKAR2B","PRKAR2B"
"1207","PRLHR","PRLHR"
"1208","PRMT8","PRMT8"
"1209","PRRC2B","PRRC2B"
"1210","PRRG3","PRRG3"
"1211","PRSS35","PRSS35"
"1212","PSMA2","PSMA2"
"1213","PSMD2","PSMD2"
"1214","PSMD4","PSMD4"
"1215","PSTK","PSTK"
"1216","PTCHD3","PTCHD3"
"1217","PTPRD","PTPRD"
"1218","PYURF","PYURF"
"1219","QNG1","QNG1"
"1220","QRFPR","QRFPR"
"1221","RAB19","RAB19"
"1222","RAB26","RAB26"
"1223","RAB7A","RAB7A"
"1224","RAC1","RAC1"
"1225","RALGDS","RALGDS"
"1226","RAMP1","RAMP1"
"1227","RAMP3","RAMP3"
"1228","RAP1GAP","RAP1GAP"
"1229","RAP1GDS1","RAP1GDS1"
"1230","RAPGEF2","RAPGEF2"
"1231","RAPGEF4","RAPGEF4"
"1232","RAPH1","RAPH1"
"1233","RASA2","RASA2"
"1234","RASGRF1","RASGRF1"
"1235","RASGRP2","RASGRP2"
"1236","RASL10B","RASL10B"
"1237","RASSF10","RASSF10"
"1238","RASSF4","RASSF4"
"1239","RASSF5","RASSF5"
"1240","RERG","RERG"
"1241","RETSAT","RETSAT"
"1242","RFESD","RFESD"
"1243","RFFL","RFFL"
"1244","RGS13","RGS13"
"1245","RGS9BP","RGS9BP"
"1246","RHO","RHO"
"1247","RHOU","RHOU"
"1248","RIC1","RIC1"
"1249","RIC3","RIC3"
"1250","RIMBP2","RIMBP2"
"1251","RIMOC1","RIMOC1"
"1252","RIN2","RIN2"
"1253","RLIG1","RLIG1"
"1254","RNF122","RNF122"
"1255","RNF14","RNF14"
"1256","RNF157","RNF157"
"1257","RNF208","RNF208"
"1258","RNF224","RNF224"
"1259","RNF5","RNF5"
"1260","RNU12","RNU12"
"1261","RNU6ATAC27P","RNU6ATAC21P"
"1262","RPS17","RPS17"
"1263","RSBN1","RSBN1"
"1264","RSPH1","RSPH1"
"1265","RTKN","RTKN"
"1266","RUNDC1","RUNDC1"
"1267","RYR2","RYR2"
"1268","SAMD12","SAMD12"
"1269","SAMD4B","SAMD4B"
"1270","SAMD5","SAMD5"
"1271","SAMD9","SAMD9"
"1272","SANBR","SANBR"
"1273","SAT2","SAT2"
"1274","SBK1","SBK1"
"1275","SBNO2","SBNO2"
"1276","SBSPON","SBSPON"
"1277","SCARF2","SCARF2"
"1278","SCARNA14","SCARNA14"
"1279","SCARNA8","SCARNA8"
"1280","SCHIP1","SCHIP1"
"1281","SCYL2","SCYL2"
"1282","SEC14L1","SEC14L1"
"1283","SEMA4F","SEMA4F"
"1284","SERF2","SERF2"
"1285","SERINC3","SERINC3"
"1286","SERP1","SERP1"
"1287","SERP2","SERP2"
"1288","SFMBT1","SFMBT1"
"1289","SGCZ","SGCZ"
"1290","SGK3","SGK3"
"1291","SGMS1","SGMS1"
"1292","SGPP2","SGPP2"
"1293","SH2B2","SH2B2"
"1294","SH3RF3","SH3RF3"
"1295","SH3TC1","SH3TC1"
"1296","SHISAL2A","SHISAL2A"
"1297","SHKBP1","SHKBP1"
"1298","SHROOM2","SHROOM2"
"1299","SIKE1","SIKE1"
"1300","SIPA1","SIPA1"
"1301","SLA","SLA"
"1302","SLC15A5","SLC15A5"
"1303","SLC16A3","SLC16A3"
"1304","SLC16A6","SLC16A6"
"1305","SLC16A7","SLC16A7"
"1306","SLC18A1","SLC18A1"
"1307","SLC24A2","SLC24A2"
"1308","SLC25A1","SLC25A1"
"1309","SLC25A10","SLC25A10"
"1310","SLC25A29","SLC25A29"
"1311","SLC29A4","SLC29A4"
"1312","SLC2A13","SLC2A13"
"1313","SLC35D3","SLC35D3"
"1314","SLC35E2B","SLC35E2B"
"1315","SLC35G1","SLC35G1"
"1316","SLC39A11","SLC39A11"
"1317","SLC44A2","SLC44A2"
"1318","SLC45A4","SLC45A4"
"1319","SLC46A3","SLC46A3"
"1320","SLC4A5","SLC4A5"
"1321","SLC5A10","SLC5A10"
"1322","SLC5A7","SLC5A7"
"1323","SLC66A2","SLC66A2"
"1324","SLC6A13","SLC6A13"
"1325","SLC7A1","SLC7A1"
"1326","SLC9A1","SLC9A1"
"1327","SLC9B2","SLC9B2"
"1328","SLCO3A1","SLCO3A1"
"1329","SMARCA4","SMARCA4"
"1330","SMIM10L2B","SMIM10"
"1331","SMIM18","SMIM18"
"1332","SMIM36","SMIM36"
"1333","SNORA23","SNORA23"
"1334","SNORA36C","SNORA36B"
"1335","SNORA77B","SNORA77B"
"1336","SNORA81","SNORA81"
"1337","SNORD16","SNORD16"
"1338","SNORD21","SNORD21"
"1339","SNORD22","SNORD22"
"1340","SNORD24","SNORD24"
"1341","SNORD30","SNORD30"
"1342","SNORD36A","SNORD36A"
"1343","SNORD36C","SNORD36C"
"1344","SNORD38A","SNORD38A"
"1345","SNORD46","SNORD46"
"1346","SNORD54","SNORD54"
"1347","SNORD70","SNORD70B"
"1348","SNORD83A","SNORD83A"
"1349","SNORD97","SNORD97"
"1350","SNTA1","SNTA1"
"1351","SORCS3","SORCS3"
"1352","SPAG9","SPAG9"
"1353","SPATA1","SPATA1"
"1354","SPDEF","SPDEF"
"1355","SPEN","SPEN"
"1356","SPHK1","SPHK1"
"1357","SPMIP7","SPMIP7"
"1358","SPRING1","SPRING1"
"1359","SPSB2","SPSB2"
"1360","SRBD1","SRBD1"
"1361","SRCIN1","SRCIN1"
"1362","SRL","SRL"
"1363","SRMS","SRMS"
"1364","SSBP4","SSBP4"
"1365","STEEP1","STEEP1"
"1366","STK19","STK19"
"1367","STMP1","STMP1"
"1368","STRADB","STRADB"
"1369","STX3","STX3"
"1370","SUSD2","SUSD2"
"1371","SYDE1","SYDE1"
"1372","SYDE2","SYDE2"
"1373","SYNDIG1","SYNDIG1"
"1374","SYNPR","SYNPR"
"1375","SYT2","SYT2"
"1376","TADA1","TADA1"
"1377","TAFA3","TAFA3"
"1378","TAGAP","TAGAP"
"1379","TANC2","TANC2"
"1380","TATDN3","TATDN3"
"1381","TBC1D8","TBC1D8"
"1382","TC2N","TC2N"
"1383","TCERG1L","TCERG1L"
"1384","TCF24","TCF24"
"1385","TCF4","TCF4"
"1386","TCIM","TCIM"
"1387","TENM2","TENM2"
"1388","TENM3","TENM3"
"1389","TENT5A","TENT5A"
"1390","TESK1","TESK1"
"1391","THEM6","THEM6"
"1392","TIMM21","TIMM21"
"1393","TIMM22","TIMM22"
"1394","TLX3","TLX3"
"1395","TMC1","TMC1"
"1396","TMCC1","TMCC1"
"1397","TMEM114","TMEM114"
"1398","TMEM120A","TMEM120A"
"1399","TMEM132C","TMEM132C"
"1400","TMEM132D","TMEM132D"
"1401","TMEM151A","TMEM151A"
"1402","TMEM164","TMEM164"
"1403","TMEM19","TMEM19"
"1404","TMEM200C","TMEM200C"
"1405","TMEM216","TMEM216"
"1406","TMEM233","TMEM233"
"1407","TMEM235","TMEM235"
"1408","TMEM263","TMEM263"
"1409","TMEM275","TMEM275"
"1410","TMEM87B","TMEM87B"
"1411","TMEM8B","TMEM8B"
"1412","TNC","TNC"
"1413","TNNC2","TNNC2"
"1414","TNPO2","TNPO2"
"1415","TOM1L2","TOM1L2"
"1416","TP53I3","TP53I3"
"1417","TPGS1","TPGS1"
"1418","TPPP","TPPP"
"1419","TRAPPC9","TRAPPC9"
"1420","TRIM67","TRIM67"
"1421","TSC22D3","TSC22D3"
"1422","TST","TST"
"1423","TSTD1","TSTD1"
"1424","TTC28","TTC28"
"1425","TTC9","TTC9"
"1426","TUBB4B","TUBB4B"
"1427","TULP1","TULP1"
"1428","TXN","TXN"
"1429","UBA6","UBA6"
"1430","UBB","UBB"
"1431","UBE2M","UBE2M"
"1432","UBE2O","UBE2O"
"1433","UBL4A","UBL4A"
"1434","UBLCP1","UBLCP1"
"1435","UBR1","UBR1"
"1436","UNC13B","UNC13B"
"1437","UNC5C","UNC5C"
"1438","UQCC6","UQCC6"
"1439","USP30","USP30"
"1440","USP34","USP34"
"1441","USP53","USP53"
"1442","UST","UST"
"1443","UTP14C","UTP14C"
"1444","VASH1","VASH1"
"1445","VDR","VDR"
"1446","VIT","VIT"
"1447","VMAC","VMAC"
"1448","VSTM2A","VSTM2A"
"1449","VSTM2B","VSTM2B"
"1450","WARS1","WARS1"
"1451","WDR1","WDR1"
"1452","WDR31","WDR31"
"1453","WDR48","WDR48"
"1454","WDR70","WDR70"
"1455","WSCD1","WSCD1"
"1456","XKR4","XKR4"
"1457","XKR7","XKR7"
"1458","XPO5","XPO5"
"1459","XRCC2","XRCC2"
"1460","YTHDC2","YTHDC2"
"1461","ZBTB26","ZBTB26"
"1462","ZC3H12A","ZC3H12A"
"1463","ZNF276","ZNF276"
"1464","ZNF335","ZNF335"
"1465","ZNF462","ZNF462"
"1466","ZNF512B","ZNF512B"
"1467","ZNF521","ZNF521"
"1468","ZNF821","ZNF821"
"1469","A1CF","a1cf"
"1470","A2ML1","a2ml"
"1471","AAAS","aaas"
"1472","AACS","aacs"
"1473","AADAC","aadac"
"1474","AADAT","aadat"
"1475","AAGAB","aagab"
"1476","AAK1","aak1a"
"1477","AAK1","aak1b"
"1478","AAMDC","aamdc"
"1479","AAMP","aamp"
"1480","AANAT","aanat1"
"1481","AANAT","aanat2"
"1482","AAR2","aar2"
"1483","AARS1","aars1"
"1484","AARS2","aars2"
"1485","AARSD1","aarsd1"
"1486","AASDH","aasdh"
"1487","AASDHPPT","aasdhppt"
"1488","AASS","aass"
"1489","AATF","aatf"
"1490","AATK","aatka"
"1491","AATK","aatkb"
"1492","ABAT","abat"
"1493","ABCA12","abca12"
"1494","ABCA1","abca1a"
"1495","ABCA1","abca1b"
"1496","ABCA2","abca2"
"1497","ABCA3","abca3b"
"1498","ABCA4","abca4a"
"1499","ABCA4","abca4b"
"1500","ABCA8","abca5"
"1501","ABCB10","abcb10"
"1502","ABCB11","abcb11b"
"1503","ABCB4","abcb4"
"1504","ABCB6","abcb6a"
"1505","ABCB6","abcb6b"
"1506","ABCB7","abcb7"
"1507","ABCB8","abcb8"
"1508","ABCB9","abcb9"
"1509","ABCC1","abcc1"
"1510","ABCC11","abcc10"
"1511","ABCC12","abcc12"
"1512","ABCC6","abcc13"
"1513","ABCC6","abcc2"
"1514","ABCC4","abcc4"
"1515","ABCC5","abcc5"
"1516","ABCC11","abcc6a"
"1517","ABCC11","abcc6b.1"
"1518","ABCC11","abcc6b.2"
"1519","ABCC8","abcc8"
"1520","ABCC8","abcc8b"
"1521","ABCC9","abcc9"
"1522","ABCD1","abcd1"
"1523","ABCD2","abcd2"
"1524","ABCD3","abcd3a"
"1525","ABCD4","abcd4"
"1526","ABCE1","abce1"
"1527","ABCF1","abcf1"
"1528","ABCF2","abcf2a"
"1529","ABCF2","abcf2b"
"1530","ABCF3","abcf3"
"1531","ABCG1","abcg1"
"1532","ABCG2","abcg2b"
"1533","ABCG4","abcg4a"
"1534","ABCG4","abcg4b"
"1535","ABCG5","abcg5"
"1536","ABCG8","abcg8"
"1537","ABHD10","abhd10a"
"1538","ABHD11","abhd11"
"1539","ABHD12B","abhd12"
"1540","ABHD13","abhd13"
"1541","ABHD14A","abhd14a"
"1542","ABHD14B","abhd14b"
"1543","ABHD16A","abhd16a"
"1544","ABHD17A","abhd17aa"
"1545","ABHD17A","abhd17ab"
"1546","ABHD17B","abhd17b"
"1547","ABHD17C","abhd17c"
"1548","ABHD18","abhd18"
"1549","ABHD2","abhd2a"
"1550","ABHD2","abhd2b"
"1551","ABHD3","abhd3"
"1552","ABHD4","abhd4"
"1553","ABHD6","abhd6a"
"1554","ABHD6","abhd6b"
"1555","ABHD8","abhd8a"
"1556","ABHD8","abhd8b"
"1557","ABI1","abi1a"
"1558","ABI1","abi1b"
"1559","ABI2","abi2a"
"1560","ABI2","abi2b"
"1561","ABI3","abi3b"
"1562","ABI3BP","abi3bpa"
"1563","ABI3BP","abi3bpb"
"1564","ABITRAM","abitram"
"1565","ABL1","abl1"
"1566","ABL2","abl2"
"1567","ABLIM1","ablim1a"
"1568","ABLIM1","ablim1b"
"1569","ABLIM2","ablim2"
"1570","ABLIM3","ablim3"
"1571","GBGT1","abo"
"1572","ABR","abr"
"1573","ABRA","abrab"
"1574","ABRACL","abracl"
"1575","ABRAXAS1","abraxas1"
"1576","ABRAXAS2","abraxas2"
"1577","ABT1","abt1"
"1578","ABTB1","abtb1"
"1579","ABTB2","abtb2a"
"1580","ABTB2","abtb2b"
"1581","ACAA1","acaa1"
"1582","ACAA2","acaa2"
"1583","ACACA","acaca"
"1584","ACACB","acacb"
"1585","ACAD11","acad11"
"1586","ACAD8","acad8"
"1587","ACAD9","acad9"
"1588","ACADL","acadl"
"1589","ACADM","acadm"
"1590","ACADS","acads"
"1591","ACADSB","acadsb"
"1592","ACADVL","acadvl"
"1593","ACAN","acana"
"1594","ACAN","acanb"
"1595","ACAP1","acap1"
"1596","ACAP2","acap2"
"1597","ACAT1","acat1"
"1598","ACAT2","acat2"
"1599","ACBD3","acbd3"
"1600","ACBD4","acbd4"
"1601","ACBD5","acbd5a"
"1602","ACBD6","acbd6"
"1603","ACBD7","acbd7"
"1604","ACCS","accs"
"1605","ACD","acd"
"1606","ACE2","ace2"
"1607","ACER1","acer1"
"1608","ACER2","acer2"
"1609","ACER3","acer3"
"1610","ACHE","ache"
"1611","ACIN1","acin1a"
