"","human_gene","horse_gene"
"853","ARHGEF39","ARHGEF39"
"854","ARHGEF40","ARHGEF40"
"855","ARHGEF5","ARHGEF5"
"856","ARHGEF6","ARHGEF6"
"857","ARHGEF7","ARHGEF7"
"858","ARHGEF9","ARHGEF9"
"859","ARID1A","ARID1A"
"860","ARID1B","ARID1B"
"861","ARID2","ARID2"
"862","ARID3A","ARID3A"
"863","ARID3B","ARID3B"
"864","ARID3C","ARID3C"
"865","ARID4A","ARID4A"
"866","ARID4B","ARID4B"
"867","ARID5A","ARID5A"
"868","ARIH1","ARIH1"
"869","ARIH2","ARIH2"
"870","ARK2C","ARK2C"
"871","ARK2N","ARK2N"
"872","ARL1","ARL1"
"873","ARL10","ARL10"
"874","ARL11","ARL11"
"875","ARL13A","ARL13A"
"876","ARL13B","ARL13B"
"877","ARL14","ARL14"
"878","ARL14EP","ARL14EP"
"879","ARL14EPL","ARL14EPL"
"880","ARL15","ARL15"
"881","ARL16","ARL16"
"882","ARL2","ARL2"
"883","ARL2BP","ARL2BP"
"884","ARL3","ARL3"
"885","ARL4A","ARL4A"
"886","ARL4C","ARL4C"
"887","ARL4D","ARL4D"
"888","ARL5A","ARL5A"
"889","ARL5B","ARL5B"
"890","ARL5C","ARL5C"
"891","ARL6","ARL6"
"892","ARL6IP4","ARL6IP4"
"893","ARL6IP6","ARL6IP6"
"894","ARL8A","ARL8A"
"895","ARL8B","ARL8B"
"896","ARMC1","ARMC1"
"897","ARMC10","ARMC10"
"898","ARMC12","ARMC12"
"899","ARMC2","ARMC2"
"900","ARMC3","ARMC3"
"901","ARMC5","ARMC5"
"902","ARMC6","ARMC6"
"903","ARMC7","ARMC7"
"904","ARMC8","ARMC8"
"905","ARMC9","ARMC9"
"906","ARMCX1","ARMCX1"
"907","ARMCX2","ARMCX2"
"908","ARMCX3","ARMCX3"
"909","ARMCX4","ARMCX4"
"910","ARMCX5","ARMCX5"
"911","ARMH1","ARMH1"
"912","ARMH2","ARMH2"
"913","ARMH3","ARMH3"
"914","ARMH4","ARMH4"
"915","ARMT1","ARMT1"
"916","ARNT","ARNT"
"917","ARNT2","ARNT2"
"918","BMAL1","ARNTL"
"919","BMAL2","ARNTL2"
"920","ARPC1A","ARPC1A"
"921","ARPC1B","ARPC1B"
"922","ARPC2","ARPC2"
"923","ARPC3","ARPC3"
"924","ARPC5","ARPC5"
"925","ARPIN","ARPIN"
"926","ARPP21","ARPP21"
"927","ARR3","ARR3"
"928","ARRB1","ARRB1"
"929","ARRB2","ARRB2"
"930","ARRDC1","ARRDC1"
"931","ARRDC2","ARRDC2"
"932","ARRDC3","ARRDC3"
"933","ARRDC4","ARRDC4"
"934","ARRDC5","ARRDC5"
"935","ARSA","ARSA"
"936","ARSB","ARSB"
"937","ARSD","ARSD"
"938","ARSF","ARSF"
"939","ARSG","ARSG"
"940","ARSH","ARSH"
"941","ARSI","ARSI"
"942","ARSJ","ARSJ"
"943","ARSK","ARSK"
"944","ART1","ART1"
"945","ART3","ART3"
"946","ART4","ART4"
"947","ART5","ART5"
"948","ARTN","ARTN"
"949","ARV1","ARV1"
"950","ARVCF","ARVCF"
"951","ARX","ARX"
"952","AS3MT","AS3MT"
"953","ASAH1","ASAH1"
"954","ASAH2B","ASAH2"
"955","ASAP1","ASAP1"
"956","ASAP2","ASAP2"
"957","ASAP3","ASAP3"
"958","ASB1","ASB1"
"959","ASB10","ASB10"
"960","ASB11","ASB11"
"961","ASB13","ASB13"
"962","ASB15","ASB15"
"963","ASB16","ASB16"
"964","ASB17","ASB17"
"965","ASB18","ASB18"
"966","ASB2","ASB2"
"967","ASB3","ASB3"
"968","ASB4","ASB4"
"969","ASB5","ASB5"
"970","ASB6","ASB6"
"971","ASB7","ASB7"
"972","ASB8","ASB8"
"973","ASB9","ASB9"
"974","ASCC1","ASCC1"
"975","ASCC2","ASCC2"
"976","ASCC3","ASCC3"
"977","ASCL1","ASCL1"
"978","ASCL3","ASCL3"
"979","ASCL4","ASCL4"
"980","ASCL5","ASCL5"
"981","ASF1A","ASF1A"
"982","ASF1B","ASF1B"
"983","ASGR1","ASGR1"
"984","ASGR2","ASGR2"
"985","ASH1L","ASH1L"
"986","ASH2L","ASH2L"
"987","ASIC1","ASIC1"
"988","ASIC2","ASIC2"
"989","ASIC3","ASIC3"
"990","ASIC4","ASIC4"
"991","ASIC5","ASIC5"
"992","ASIP","ASIP"
"993","ASL","ASL"
"994","ASMT","ASMT"
"995","ASMTL","ASMTL"
"996","ASNS","ASNS"
"997","ASPA","ASPA"
"998","ASPDH","ASPDH"
"999","ASPG","ASPG"
"1000","ASPH","ASPH"
"1001","ASPHD1","ASPHD1"
"1002","ASPHD2","ASPHD2"
"1003","ASPM","ASPM"
"1004","ASPN","ASPN"
"1005","ASPRV1","ASPRV1"
"1006","ASPSCR1","ASPSCR1"
"1007","ASRGL1","ASRGL1"
"1008","ASS1","ASS1"
"1009","ASTE1","ASTE1"
"1010","ASTL","ASTL"
"1011","ASTN1","ASTN1"
"1012","ASTN2","ASTN2"
"1013","ASXL1","ASXL1"
"1014","ASXL2","ASXL2"
"1015","ASXL3","ASXL3"
"1016","ASZ1","ASZ1"
"1017","ATAD1","ATAD1"
"1018","ATAD2","ATAD2"
"1019","ATAD2B","ATAD2B"
"1020","ATAD3A","ATAD3A"
"1021","ATAD5","ATAD5"
"1022","ATAT1","ATAT1"
"1023","ATCAY","ATCAY"
"1024","ATE1","ATE1"
"1025","ATF1","ATF1"
"1026","ATF2","ATF2"
"1027","ATF3","ATF3"
"1028","ATF4","ATF4"
"1029","ATF5","ATF5"
"1030","ATF6","ATF6"
"1031","ATF6B","ATF6B"
"1032","ATF7","ATF7"
"1033","ATF7IP","ATF7IP"
"1034","ATF7IP2","ATF7IP2"
"1035","ATG10","ATG10"
"1036","ATG101","ATG101"
"1037","ATG12","ATG12"
"1038","ATG13","ATG13"
"1039","ATG14","ATG14"
"1040","ATG16L1","ATG16L1"
"1041","ATG16L2","ATG16L2"
"1042","ATG2A","ATG2A"
"1043","ATG2B","ATG2B"
"1044","ATG3","ATG3"
"1045","ATG4A","ATG4A"
"1046","ATG4B","ATG4B"
"1047","ATG4C","ATG4C"
"1048","ATG4D","ATG4D"
"1049","ATG5","ATG5"
"1050","ATG7","ATG7"
"1051","ATG9A","ATG9A"
"1052","ATG9B","ATG9B"
"1053","ATIC","ATIC"
"1054","ATL1","ATL1"
"1055","ATL2","ATL2"
"1056","ATL3","ATL3"
"1057","ATM","ATM"
"1058","ATMIN","ATMIN"
"1059","ATN1","ATN1"
"1060","ATOH1","ATOH1"
"1061","ATOH8","ATOH8"
"1062","ATOSA","ATOSA"
"1063","ATOSB","ATOSB"
"1064","ATP10A","ATP10A"
"1065","ATP10B","ATP10B"
"1066","ATP10D","ATP10D"
"1067","ATP11A","ATP11A"
"1068","ATP11B","ATP11B"
"1069","ATP11C","ATP11C"
"1070","ATP12A","ATP12A"
"1071","ATP13A1","ATP13A1"
"1072","ATP13A2","ATP13A2"
"1073","ATP13A3","ATP13A3"
"1074","ATP13A4","ATP13A4"
"1075","ATP13A5","ATP13A5"
"1076","ATP1A1","ATP1A1"
"1077","ATP1A2","ATP1A2"
"1078","ATP1A3","ATP1A3"
"1079","ATP1A4","ATP1A4"
"1080","ATP1B1","ATP1B1"
"1081","ATP1B2","ATP1B2"
"1082","ATP1B3","ATP1B3"
"1083","ATP1B4","ATP1B4"
"1084","ATP23","ATP23"
"1085","ATP2A1","ATP2A1"
"1086","ATP2A2","ATP2A2"
"1087","ATP2A3","ATP2A3"
"1088","ATP2B1","ATP2B1"
"1089","ATP2B2","ATP2B2"
"1090","ATP2B3","ATP2B3"
"1091","ATP2B4","ATP2B4"
"1092","ATP2C1","ATP2C1"
"1093","ATP2C2","ATP2C2"
"1094","ATP4A","ATP4A"
"1095","ATP4B","ATP4B"
"1096","ATP5F1A","ATP5F1A"
"1097","ATP5F1B","ATP5F1B"
"1098","ATP5F1C","ATP5F1C"
"1099","ATP5F1D","ATP5F1D"
"1100","ATP5IF1","ATP5IF1"
"1101","ATP5MC3","ATP5MC3"
"1102","ATP5MF","ATP5MF"
"1103","ATP5MJ","ATP5MJ"
"1104","ATP5PB","ATP5PB"
"1105","ATP5PD","ATP5PD"
"1106","ATP5PO","ATP5PO"
"1107","ATP6AP1","ATP6AP1"
"1108","ATP6AP2","ATP6AP2"
"1109","ATP6V0A1","ATP6V0A1"
"1110","ATP6V0A4","ATP6V0A4"
"1111","ATP6V0D1","ATP6V0D1"
"1112","ATP6V0D2","ATP6V0D2"
"1113","ATP6V1A","ATP6V1A"
"1114","ATP6V1B2","ATP6V1B2"
"1115","ATP6V1C1","ATP6V1C1"
"1116","ATP6V1C2","ATP6V1C2"
"1117","ATP6V1D","ATP6V1D"
"1118","ATP6V1E1","ATP6V1E1"
"1119","ATP6V1E2","ATP6V1E2"
"1120","ATP6V1G1","ATP6V1G1"
"1121","ATP6V1G2","ATP6V1G2"
"1122","ATP6V1H","ATP6V1H"
"1123","ATP7A","ATP7A"
"1124","ATP7B","ATP7B"
"1125","ATP8A1","ATP8A1"
"1126","ATP8A2","ATP8A2"
"1127","ATP8B1","ATP8B1"
"1128","ATP8B2","ATP8B2"
"1129","ATP8B3","ATP8B3"
"1130","ATP8B4","ATP8B4"
"1131","ATP9A","ATP9A"
"1132","ATPAF1","ATPAF1"
"1133","ATPAF2","ATPAF2"
"1134","ATPSCKMT","ATPSCKMT"
"1135","ATR","ATR"
"1136","ATRAID","ATRAID"
"1137","ATRIP","ATRIP"
"1138","ATRN","ATRN"
"1139","ATRNL1","ATRNL1"
"1140","ATRX","ATRX"
"1141","ATXN1","ATXN1"
"1142","ATXN10","ATXN10"
"1143","ATXN1L","ATXN1L"
"1144","ATXN2","ATXN2"
"1145","ATXN2L","ATXN2L"
"1146","ATXN3","ATXN3"
"1147","ATXN7","ATXN7"
"1148","ATXN7L1","ATXN7L1"
"1149","ATXN7L2","ATXN7L2"
"1150","ATXN7L3","ATXN7L3"
"1151","AUH","AUH"
"1152","AUNIP","AUNIP"
"1153","AUP1","AUP1"
"1154","AURKA","AURKA"
"1155","AURKB","AURKB"
"1156","AURKC","AURKC"
"1157","AUTS2","AUTS2"
"1158","AVEN","AVEN"
"1159","AVIL","AVIL"
"1160","AVL9","AVL9"
"1161","AVPI1","AVPI1"
"1162","AVPR1A","AVPR1A"
"1163","AVPR1B","AVPR1B"
"1164","AVPR2","AVPR2"
"1165","AWAT1","AWAT1"
"1166","AWAT2","AWAT2"
"1167","AXDND1","AXDND1"
"1168","AXIN1","AXIN1"
"1169","AXIN2","AXIN2"
"1170","AXL","AXL"
"1171","AZGP1","AZGP1"
"1172","AZI2","AZI2"
"1173","AZIN1","AZIN1"
"1174","AZIN2","AZIN2"
"1175","AZU1","AZU1"
"1176","RNF4","B2M"
"1177","B3GALNT1","B3GALNT1"
"1178","B3GALNT2","B3GALNT2"
"1179","B3GALT1","B3GALT1"
"1180","B3GALT2","B3GALT2"
"1181","B3GALT4","B3GALT4"
"1182","B3GALT5","B3GALT5"
"1183","B3GALT9","B3GALT9"
"1184","B3GAT1","B3GAT1"
"1185","B3GAT2","B3GAT2"
"1186","B3GAT3","B3GAT3"
"1187","B3GLCT","B3GLCT"
"1188","B3GNT2","B3GNT2"
"1189","B3GNT3","B3GNT3"
"1190","B3GNT4","B3GNT4"
"1191","B3GNT5","B3GNT5"
"1192","B3GNT6","B3GNT6"
"1193","B3GNT7","B3GNT7"
"1194","B3GNT8","B3GNT8"
"1195","B3GNT9","B3GNT9"
"1196","B3GNTL1","B3GNTL1"
"1197","B4GALNT1","B4GALNT1"
"1198","B4GALNT2","B4GALNT2"
"1199","B4GALNT3","B4GALNT3"
"1200","B4GALNT4","B4GALNT4"
"1201","B4GALT1","B4GALT1"
"1202","B4GALT2","B4GALT2"
"1203","B4GALT3","B4GALT3"
"1204","B4GALT4","B4GALT4"
"1205","B4GALT5","B4GALT5"
"1206","B4GALT6","B4GALT6"
"1207","B4GALT7","B4GALT7"
"1208","B4GAT1","B4GAT1"
"1209","B9D1","B9D1"
"1210","B9D2","B9D2"
"1211","BAALC","BAALC"
"1212","BAAT","BAAT"
"1213","BABAM1","BABAM1"
"1214","BABAM2","BABAM2"
"1215","BACE1","BACE1"
"1216","BACE2","BACE2"
"1217","BACH1","BACH1"
"1218","BACH2","BACH2"
"1219","BAG1","BAG1"
"1220","BAG4","BAG4"
"1221","BAG5","BAG5"
"1222","BAG6","BAG6"
"1223","BAHCC1","BAHCC1"
"1224","BAHD1","BAHD1"
"1225","BAIAP2","BAIAP2"
"1226","BAIAP2L1","BAIAP2L1"
"1227","BAIAP2L2","BAIAP2L2"
"1228","BAIAP3","BAIAP3"
"1229","BAK1","BAK1"
"1230","BAMBI","BAMBI"
"1231","BANF1","BANF1"
"1232","BANK1","BANK1"
"1233","BANP","BANP"
"1234","BAP1","BAP1"
"1235","BARD1","BARD1"
"1236","BARHL1","BARHL1"
"1237","BARHL2","BARHL2"
"1238","BARX2","BARX2"
"1239","BASP1","BASP1"
"1240","BATF","BATF"
"1241","BATF2","BATF2"
"1242","BATF3","BATF3"
"1243","BAX","BAX"
"1244","BAZ1A","BAZ1A"
"1245","BAZ1B","BAZ1B"
"1246","BAZ2A","BAZ2A"
"1247","BAZ2B","BAZ2B"
"1248","BBIP1","BBIP1"
"1249","BBLN","BBLN"
"1250","BBOF1","BBOF1"
"1251","BBOX1","BBOX1"
"1252","BBS1","BBS1"
"1253","BBS10","BBS10"
"1254","BBS12","BBS12"
"1255","BBS2","BBS2"
"1256","BBS4","BBS4"
"1257","BBS5","BBS5"
"1258","BBS7","BBS7"
"1259","BBS9","BBS9"
"1260","BBX","BBX"
"1261","BCAM","BCAM"
"1262","BCAN","BCAN"
"1263","BCAP29","BCAP29"
"1264","BCAP31","BCAP31"
"1265","BCAR1","BCAR1"
"1266","BCAR3","BCAR3"
"1267","BCAS1","BCAS1"
"1268","BCAS3","BCAS3"
"1269","BCAS4","BCAS4"
"1270","BCAT1","BCAT1"
"1271","BCAT2","BCAT2"
"1272","BCCIP","BCCIP"
"1273","BCDIN3D","BCDIN3D"
"1274","BCHE","BCHE"
"1275","BCKDHA","BCKDHA"
"1276","BCKDHB","BCKDHB"
"1277","BCKDK","BCKDK"
"1278","BCL10","BCL10"
"1279","BCL11A","BCL11A"
"1280","BCL11B","BCL11B"
"1281","BCL2","BCL2"
"1282","BCL2A1","BCL2A1"
"1283","BCL2L1","BCL2L1"
"1284","BCL2L11","BCL2L11"
"1285","BCL2L12","BCL2L12"
"1286","BCL2L13","BCL2L13"
"1287","BCL2L14","BCL2L14"
"1288","BCL3","BCL3"
"1289","BCL6","BCL6"
"1290","SLC16A13","BCL6B"
"1291","BCL7A","BCL7A"
"1292","BCL7B","BCL7B"
"1293","BCL7C","BCL7C"
"1294","BCL9","BCL9"
"1295","BCL9L","BCL9L"
"1296","BCLAF1","BCLAF1"
"1297","BCO1","BCO1"
"1298","BCO2","BCO2"
"1299","BCOR","BCOR"
"1300","BCORL1","BCORL1"
"1301","BCR","BCR"
"1302","BCS1L","BCS1L"
"1303","BDH1","BDH1"
"1304","BDKRB1","BDKRB1"
"1305","BDNF","BDNF"
"1306","BDP1","BDP1"
"1307","BEAN1","BEAN1"
"1308","BECN1","BECN1"
"1309","BECN2","BECN2"
"1310","BEGAIN","BEGAIN"
"1311","BEND3","BEND3"
"1312","BEND4","BEND4"
"1313","BEND5","BEND5"
"1314","BEND6","BEND6"
"1315","BEST1","BEST1"
"1316","BEST2","BEST2"
"1317","BEST3","BEST3"
"1318","BEST4","BEST4"
"1319","BEX3","BEX3"
"1320","BEX4","BEX4"
"1321","BFAR","BFAR"
"1322","BFSP1","BFSP1"
"1323","BFSP2","BFSP2"
"1324","BGN","BGN"
"1325","BHLHE22","BHLHE22"
"1326","BHLHE23","BHLHE23"
"1327","BHLHE40","BHLHE40"
"1328","BHLHE41","BHLHE41"
"1329","BHMT","BHMT"
"1330","BHMT2","BHMT2"
"1331","BICC1","BICC1"
"1332","BICD2","BICD2"
"1333","BICDL1","BICDL1"
"1334","BICDL2","BICDL2"
"1335","BICRA","BICRA"
"1336","BICRAL","BICRAL"
"1337","BID","BID"
"1338","BIN1","BIN1"
"1339","BIN2","BIN2"
"1340","BIN3","BIN3"
"1341","BIRC2","BIRC3"
"1342","BIRC5","BIRC5"
"1343","BIRC6","BIRC6"
"1344","BIRC7","BIRC7"
"1345","BIVM","BIVM"
"1346","BLK","BLK"
"1347","BLM","BLM"
"1348","BLMH","BLMH"
"1349","BLNK","BLNK"
"1350","BLOC1S1","BLOC1S1"
"1351","BLOC1S2","BLOC1S2"
"1352","BLOC1S3","BLOC1S3"
"1353","BLOC1S4","BLOC1S4"
"1354","BLOC1S5","BLOC1S5"
"1355","BLTP3A","BLTP3A"
"1356","BLTP3B","BLTP3B"
"1357","BLVRA","BLVRA"
"1358","BLVRB","BLVRB"
"1359","BLZF1","BLZF1"
"1360","BMERB1","BMERB1"
"1361","BMF","BMF"
"1362","BMI1","BMI1"
"1363","BMP1","BMP1"
"1364","BMP10","BMP10"
"1365","BMP15","BMP15"
"1366","BMP2","BMP2"
"1367","BMP2K","BMP2K"
"1368","BMP3","BMP3"
"1369","BMP4","BMP4"
"1370","BMP5","BMP5"
"1371","BMP6","BMP6"
"1372","BMP7","BMP7"
"1373","BMPER","BMPER"
"1374","BMPR1A","BMPR1A"
"1375","BMPR1B","BMPR1B"
"1376","BMPR2","BMPR2"
"1377","BMS1","BMS1"
"1378","BMT2","BMT2"
"1379","BMX","BMX"
"1380","BNC1","BNC1"
"1381","BNC2","BNC2"
"1382","BNIP1","BNIP1"
"1383","BNIP2","BNIP2"
"1384","BNIP3","BNIP3"
"1385","BNIP3L","BNIP3L"
"1386","BNIP5","BNIP5"
"1387","BOC","BOC"
"1388","BOD1L1","BOD1L1"
"1389","BOK","BOK"
"1390","BOLA1","BOLA1"
"1391","BOLA3","BOLA3"
"1392","BOLL","BOLL"
"1393","BOP1","BOP1"
"1394","BORA","BORA"
"1395","BORCS5","BORCS5"
"1396","BORCS6","BORCS6"
"1397","BORCS8","BORCS8"
"1398","BPGM","BPGM"
"1399","BPHL","BPHL"
"1400","BPI","BPI"
"1401","BPIFA2","BPIFA2"
"1402","BPIFB2","BPIFB2"
"1403","BPIFB3","BPIFB3"
"1404","BPIFB4","BPIFB4"
"1405","BPIFB6","BPIFB6"
"1406","BPIFC","BPIFC"
"1407","BPNT1","BPNT1"
"1408","BPNT2","BPNT2"
"1409","BPTF","BPTF"
"1410","BRAF","BRAF"
"1411","BRAP","BRAP"
"1412","BRAT1","BRAT1"
"1413","BRCA1","BRCA1"
"1414","BRCA2","BRCA2"
"1415","BRCC3","BRCC3"
"1416","BRD1","BRD1"
"1417","BRD2","BRD2"
"1418","BRD3","BRD3"
"1419","BRD7","BRD7"
"1420","BRD8","BRD8"
"1421","BRD9","BRD9"
"1422","BRDT","BRDT"
"1423","BRF1","BRF1"
"1424","BRF2","BRF2"
"1425","BRI3BP","BRI3BP"
"1426","BRINP1","BRINP1"
"1427","BRINP2","BRINP2"
"1428","BRINP3","BRINP3"
"1429","BRIP1","BRIP1"
"1430","BRIX1","BRIX1"
"1431","BRME1","BRME1"
"1432","BRMS1","BRMS1"
"1433","BRMS1L","BRMS1L"
"1434","BROX","BROX"
"1435","BRPF1","BRPF1"
"1436","BRPF3","BRPF3"
"1437","BRS3","BRS3"
"1438","BRSK1","BRSK1"
"1439","BRSK2","BRSK2"
"1440","BRWD1","BRWD1"
"1441","BRWD3","BRWD3"
"1442","BSCL2","BSCL2"
"1443","BSDC1","BSDC1"
"1444","BSG","BSG"
"1445","BSN","BSN"
"1446","BSND","BSND"
"1447","BSPH1","BSPH1"
"1448","BSPRY","BSPRY"
"1449","BST1","BST1"
"1450","BST2","BST2"
"1451","BTAF1","BTAF1"
"1452","BTBD1","BTBD1"
"1453","BTBD10","BTBD10"
"1454","ABTB3","BTBD11"
"1455","BTBD16","BTBD16"
"1456","BTBD17","BTBD17"
"1457","BTBD18","BTBD18"
"1458","BTBD19","BTBD19"
"1459","BTBD2","BTBD2"
"1460","BTBD3","BTBD3"
"1461","BTBD6","BTBD6"
"1462","BTBD7","BTBD7"
"1463","BTBD8","BTBD8"
"1464","BTBD9","BTBD9"
"1465","BTC","BTC"
"1466","BTD","BTD"
"1467","BTF3","BTF3"
"1468","BTF3L4","BTF3L4"
"1469","BTG1","BTG1"
"1470","BTG2","BTG2"
"1471","BTG3","BTG3"
"1472","BTG4","BTG4"
"1473","BTK","BTK"
"1474","BTLA","BTLA"
"1475","BTN1A1","BTN1A1"
"1476","BTNL2","BTNL2"
"1477","BTNL9","BTNL9"
"1478","BTRC","BTRC"
"1479","BUB1","BUB1"
"1480","BUB1B","BUB1B"
"1481","BUB3","BUB3"
"1482","BUD13","BUD13"
"1483","BUD23","BUD23"
"1484","BUD31","BUD31"
"1485","BVES","BVES"
"1486","BYSL","BYSL"
"1487","BZW1","BZW1"
"1488","BZW2","BZW2"
"1489","C19orf12","C10H19orf12"
"1490","C19orf18","C10H19orf18"
"1491","C19orf47","C10H19orf47"
"1492","C19orf81","C10H19orf81"
"1493","C6orf163","C10H6orf163"
"1494","C6orf58","C10H6orf58"
"1495","C10orf62","C10orf62"
"1496","C17orf107","C11H17orf107"
"1497","C17orf50","C11H17orf50"
"1498","C17orf58","C11H17orf58"
"1499","C17orf67","C11H17orf67"
"1500","C17orf75","C11H17orf75"
"1501","C17orf80","C11H17orf80"
"1502","C17orf99","C11H17orf99"
"1503","C11orf68","C11orf68"
"1504","C11orf98","C11orf98"
"1505","C11orf24","C12H11orf24"
"1506","C11orf86","C12H11orf86"
"1507","C11orf91","C12H11orf91"
"1508","C12orf54","C12orf54"
"1509","C16orf54","C13H16orf54"
"1510","C16orf89","C13H16orf89"
"1511","C16orf90","C13H16orf90"
"1512","C16orf96","C13H16orf96"
"1513","C7orf50","C13H7orf50"
"1514","C13orf42","C13orf42"
"1515","C5orf15","C14H5orf15"
"1516","C5orf24","C14H5orf24"
"1517","C5orf47","C14H5orf47"
"1518","C5orf63","C14H5orf63"
"1519","C14orf132","C14orf132"
"1520","C2orf42","C15H2orf42"
"1521","C2orf49","C15H2orf49"
"1522","C2orf50","C15H2orf50"
"1523","C2orf74","C15H2orf74"
"1524","C3orf18","C16H3orf18"
"1525","C3orf20","C16H3orf20"
"1526","C3orf49","C16H3orf49"
"1527","C16orf95","C16orf95"
"1528","C17orf100","C17orf100"
"1529","C17orf113","C17orf113"
"1530","C17orf114","C17orf114"
"1531","C17orf49","C17orf49"
"1532","C2orf69","C18H2orf69"
"1533","C2orf76","C18H2orf76"
"1534","C2orf80","C18H2orf80"
"1535","C2orf88","C18H2orf88"
"1536","C18orf32","C18orf32"
"1537","C3orf52","C19H3orf52"
"1538","C3orf70","C19H3orf70"
"1539","C19orf84","C19orf84"
"1540","C19orf85","C19orf85"
"1541","C1D","C1D"
"1542","C1GALT1","C1GALT1"
"1543","C1GALT1C1","C1GALT1C1"
"1544","C10orf105","C1H10orf105"
"1545","C10orf120","C1H10orf120"
"1546","C10orf53","C1H10orf53"
"1547","C10orf71","C1H10orf71"
"1548","C10orf90","C1H10orf90"
"1549","C14orf119","C1H14orf119"
"1550","C14orf28","C1H14orf28"
"1551","C14orf93","C1H14orf93"
"1552","C15orf39","C1H15orf39"
"1553","C15orf48","C1H15orf48"
"1554","C15orf62","C1H15orf62"
"1555","C1orf131","C1H1orf131"
"1556","C1orf198","C1H1orf198"
"1557","C1QA","C1QA"
"1558","C1QB","C1QB"
"1559","C1QBP","C1QBP"
"1560","C1QC","C1QC"
"1561","C1QL1","C1QL1"
"1562","C1QL2","C1QL2"
"1563","C1QL4","C1QL4"
"1564","C1QTNF1","C1QTNF1"
"1565","C1QTNF12","C1QTNF12"
"1566","C1QTNF3","C1QTNF3"
"1567","C1QTNF6","C1QTNF6"
"1568","C1QTNF7","C1QTNF7"
"1569","C1QTNF8","C1QTNF8"
"1570","C1R","C1R"
"1571","C1RL","C1RL"
"1572","C1S","C1S"
"1573","C1orf232","C1orf232"
"1574","C1orf43","C1orf43"
"1575","C1orf53","C1orf53"
"1576","C2","C2"
"1577","C6orf15","C20H6orf15"
"1578","C6orf47","C20H6orf47"
"1579","C6orf62","C20H6orf62"
"1580","C6orf89","C20H6orf89"
"1581","C20orf204","C20orf204"
"1582","C19orf44","C21H19orf44"
"1583","C5orf22","C21H5orf22"
"1584","C5orf34","C21H5orf34"
"1585","C21orf140","C21orf140"
"1586","C20orf173","C22H20orf173"
"1587","C20orf202","C22H20orf202"
"1588","C20orf96","C22H20orf96"
"1589","C9orf85","C23H9orf85"
"1590","C14orf180","C24H14orf180"
"1591","C14orf39","C24H14orf39"
"1592","C9orf131","C25H9orf131"
"1593","C9orf152","C25H9orf152"
"1594","C9orf78","C25H9orf78"
"1595","C21orf62","C26H21orf62"
"1596","C21orf91","C26H21orf91"
"1597","CFAP96","C27H4orf47"
"1598","C8orf48","C27H8orf48"
"1599","C12orf42","C28H12orf42"
"1600","C12orf50","C28H12orf50"
"1601","C22orf23","C28H22orf23"
"1602","C10orf67","C29H10orf67"
"1603","C2CD2","C2CD2"
"1604","C2CD2L","C2CD2L"
"1605","C2CD3","C2CD3"
"1606","C2CD4D","C2CD4D"
"1607","C2CD5","C2CD5"
"1608","C2CD6","C2CD6"
"1609","C1orf159","C2H1orf159"
"1610","C1orf174","C2H1orf174"
"1611","C1orf185","C2H1orf185"
"1612","C1orf210","C2H1orf210"
"1613","C1orf216","C2H1orf216"
"1614","C1orf50","C2H1orf50"
"1615","C1orf94","C2H1orf94"
"1616","C4orf3","C2H4orf3"
"1617","C4orf33","C2H4orf33"
"1618","C4orf46","C2H4orf46"
"1619","C8orf58","C2H8orf58"
"1620","C8orf74","C2H8orf74"
"1621","C2orf16","C2orf16"
"1622","C2orf66","C2orf66"
"1623","C2orf72","C2orf72"
"1624","C2orf81","C2orf81"
"1625","C3","C3"
"1626","C1orf115","C30H1orf115"
"1627","C6orf118","C31H6orf118"
"1628","C3AR1","C3AR1"
"1629","C16orf46","C3H16orf46"
"1630","C16orf78","C3H16orf78"
"1631","C16orf86","C3H16orf86"
"1632","C16orf87","C3H16orf87"
"1633","C4orf17","C3H4orf17"
"1634","C4orf19","C3H4orf19"
"1635","C4orf36","C3H4orf36"
"1636","C3orf33","C3orf33"
"1637","C3orf85","C3orf85"
"1638","C4BPA","C4BPA"
"1639","C7orf25","C4H7orf25"
"1640","C7orf57","C4H7orf57"
"1641","C4orf51","C4orf51"
"1642","C4orf54","C4orf54"
"1643","C5","C5"
"1644","C5AR1","C5AR1"
"1645","C5AR2","C5AR2"
"1646","C1orf116","C5H1orf116"
"1647","C1orf141","C5H1orf141"
"1648","C1orf52","C5H1orf52"
"1649","C1orf56","C5H1orf56"
"1650","C1orf74","C5H1orf74"
"1651","C1orf87","C5H1orf87"
"1652","C6","C6"
"1653","C12orf4","C6H12orf4"
"1654","C12orf56","C6H12orf56"
"1655","C12orf60","C6H12orf60"
"1656","C12orf71","C6H12orf71"
"1657","C6orf120","C6orf120"
"1658","C6orf132","C6orf132"
"1659","C6orf136","C6orf136"
"1660","C7","C7"
"1661","C11orf16","C7H11orf16"
"1662","C11orf42","C7H11orf42"
"1663","C11orf52","C7H11orf52"
"1664","C11orf54","C7H11orf54"
"1665","C11orf58","C7H11orf58"
"1666","C11orf65","C7H11orf65"
"1667","C11orf71","C7H11orf71"
"1668","C11orf87","C7H11orf87"
"1669","C19orf38","C7H19orf38"
"1670","C19orf67","C7H19orf67"
"1671","C8A","C8A"
"1672","C8B","C8B"
"1673","C12orf43","C8H12orf43"
