"","human_gene","rat_gene"
"832","ALMS1","Alms1"
"833","ALOX12","Alox12"
"834","ALOX12B","Alox12b"
"835","ALOX15","Alox15"
"836","ALOX15B","Alox15b"
"837","ALOX5","Alox5"
"838","ALOX5AP","Alox5ap"
"839","ALOXE3","Aloxe3"
"840","ALPI","Alpg"
"841","ALPI","Alpi"
"842","ALPK1","Alpk1"
"843","ALPK3","Alpk3"
"844","ALPL","Alpl"
"845","ALPI","Alpp"
"846","ALS2","Als2"
"847","ALS2CL","Als2cl"
"848","ALX1","Alx1"
"849","ALX3","Alx3"
"850","ALX4","Alx4"
"851","ALYREF","Alyref"
"852","AMACR","Amacr"
"853","AMBN","Ambn"
"854","AMBP","Ambp"
"855","AMBRA1","Ambra1"
"856","AMD1","Amd1"
"857","AMDHD1","Amdhd1"
"858","AMDHD2","Amdhd2"
"859","AMELX","Amelx"
"860","AMER1","Amer1"
"861","AMER2","Amer2"
"862","AMER3","Amer3"
"863","AMFR","Amfr"
"864","AMH","Amh"
"865","AMHR2","Amhr2"
"866","AMIGO1","Amigo1"
"867","AMIGO2","Amigo2"
"868","AMIGO3","Amigo3"
"869","AMMECR1","Ammecr1"
"870","AMMECR1L","Ammecr1l"
"871","AMN","Amn"
"872","AMN1","Amn1"
"873","AMOT","Amot"
"874","AMOTL1","Amotl1"
"875","AMOTL2","Amotl2"
"876","AMPD1","Ampd1"
"877","AMPD2","Ampd2"
"878","AMPD3","Ampd3"
"879","AMT","Amt"
"880","AMT","Amt-ps1"
"881","AMTN","Amtn"
"882","AMZ1","Amz1"
"883","AMZ2","Amz2"
"884","ANAPC1","Anapc1"
"885","ANAPC10","Anapc10"
"886","ANAPC13","Anapc13"
"887","ANAPC15","Anapc15"
"888","ANAPC16","Anapc16"
"889","ANAPC2","Anapc2"
"890","ANAPC4","Anapc4"
"891","ANAPC5","Anapc5"
"892","ANAPC7","Anapc7"
"893","CST3","Andpro"
"894","ANG","Ang2"
"895","ANGEL1","Angel1"
"896","ANGEL2","Angel2"
"897","ANGPT1","Angpt1"
"898","ANGPT2","Angpt2"
"899","ANGPT4","Angpt4"
"900","ANGPTL1","Angptl1"
"901","ANGPTL2","Angptl2"
"902","ANGPTL3","Angptl3"
"903","ANGPTL4","Angptl4"
"904","ANGPTL6","Angptl6"
"905","ANGPTL7","Angptl7"
"906","ANGPTL8","Angptl8"
"907","ANK1","Ank1"
"908","ANK2","Ank2"
"909","ANK3","Ank3"
"910","ANKAR","Ankar"
"911","ANKDD1A","Ankdd1a"
"912","ANKDD1B","Ankdd1b"
"913","ANKEF1","Ankef1"
"914","ANKFN1","Ankfn1"
"915","ANKFY1","Ankfy1"
"916","ANKH","Ankh"
"917","ANKIB1","Ankib1"
"918","ANKK1","Ankk1"
"919","ANKLE1","Ankle1"
"920","ANKLE2","Ankle2"
"921","ANKMY1","Ankmy1"
"922","ANKMY2","Ankmy2"
"923","ANKRA2","Ankra2"
"924","ANKRD1","Ankrd1"
"925","ANKRD10","Ankrd10"
"926","ANKRD11","Ankrd11"
"927","ANKRD12","Ankrd12"
"928","ANKRD13A","Ankrd13a"
"929","ANKRD13B","Ankrd13b"
"930","ANKRD13D","Ankrd13d"
"931","ANKRD16","Ankrd16"
"932","ANKRD17","Ankrd17"
"933","ANKRD2","Ankrd2"
"934","ANKRD22","Ankrd22"
"935","ANKRD23","Ankrd23"
"936","ANKRD24","Ankrd24"
"937","ANKRD62","Ankrd26"
"938","ANKRD27","Ankrd27"
"939","ANKRD28","Ankrd28"
"940","ANKRD29","Ankrd29"
"941","ANKRD31","Ankrd31"
"942","ANKRD33","Ankrd33"
"943","ANKRD33B","Ankrd33b"
"944","ANKRD34A","Ankrd34a"
"945","ANKRD34B","Ankrd34b"
"946","ANKRD34C","Ankrd34c"
"947","ANKRD35","Ankrd35"
"948","ANKRD62","Ankrd36"
"949","ANKRD37","Ankrd37"
"950","ANKRD39","Ankrd39"
"951","ANKRD40","Ankrd40"
"952","ANKRD40CL","Ankrd40cl"
"953","ANKRD42","Ankrd42"
"954","ANKRD44","Ankrd44"
"955","ANKRD46","Ankrd46"
"956","ANKRD49","Ankrd49"
"957","ANKRD50","Ankrd50"
"958","ANKRD52","Ankrd52"
"959","ANKRD53","Ankrd53"
"960","ANKRD54","Ankrd54"
"961","ANKRD55","Ankrd55"
"962","ANKRD6","Ankrd6"
"963","ANKRD60","Ankrd60"
"964","ANKRD61","Ankrd61"
"965","ANKRD63","Ankrd63"
"966","ANKRD65","Ankrd65"
"967","ANKRD66","Ankrd66"
"968","ANKRD9","Ankrd9"
"969","ANKS1A","Anks1a"
"970","ANKS1B","Anks1b"
"971","ANKS3","Anks3"
"972","ANKS4B","Anks4b"
"973","ANKS6","Anks6"
"974","ANKUB1","Ankub1"
"975","ANKZF1","Ankzf1"
"976","ANLN","Anln"
"977","ANLN","Anlnl1"
"978","ANO1","Ano1"
"979","ANO10","Ano10"
"980","ANO2","Ano2"
"981","ANO3","Ano3"
"982","ANO4","Ano4"
"983","ANO5","Ano5"
"984","ANO6","Ano6"
"985","ANO7","Ano7"
"986","ANO8","Ano8"
"987","ANO9","Ano9"
"988","ANP32A","Anp32a"
"989","ANP32B","Anp32b"
"990","ANP32E","Anp32e"
"991","ANPEP","Anpep"
"992","ANTKMT","Antkmt"
"993","ANTXR1","Antxr1"
"994","ANTXR2","Antxr2"
"995","ANTXRL","Antxrl"
"996","ANXA1","Anxa1"
"997","ANXA10","Anxa10"
"998","ANXA11","Anxa11"
"999","ANXA13","Anxa13"
"1000","ANXA3","Anxa3"
"1001","ANXA4","Anxa4"
"1002","ANXA5","Anxa5"
"1003","ANXA6","Anxa6"
"1004","ANXA7","Anxa7"
"1005","ANXA8","Anxa8"
"1006","ANXA9","Anxa9"
"1007","AOAH","Aoah"
"1008","AOC1","Aoc1"
"1009","AOPEP","Aopep"
"1010","AOX1","Aox1"
"1011","AP1AR","Ap1ar"
"1012","AP1B1","Ap1b1"
"1013","AP1G1","Ap1g1"
"1014","AP1G2","Ap1g2"
"1015","AP1M1","Ap1m1"
"1016","AP1M2","Ap1m2"
"1017","AP1S1","Ap1s1"
"1018","AP1S2","Ap1s2"
"1019","AP1S3","Ap1s3"
"1020","AP2A1","Ap2a1"
"1021","AP2A2","Ap2a2"
"1022","AP2B1","Ap2b1"
"1023","AP2B1","Ap2b1-ps1"
"1024","AP2M1","Ap2m1"
"1025","AP2S1","Ap2s1"
"1026","AP3B1","Ap3b1"
"1027","AP3D1","Ap3d1"
"1028","AP3M1","Ap3m1"
"1029","AP3M2","Ap3m2"
"1030","AP3S1","Ap3s1"
"1031","AP3S2","Ap3s2"
"1032","AP4B1","Ap4b1"
"1033","AP4E1","Ap4e1"
"1034","AP4M1","Ap4m1"
"1035","AP4S1","Ap4s1"
"1036","AP5B1","Ap5b1"
"1037","AP5M1","Ap5m1"
"1038","AP5S1","Ap5s1"
"1039","APAF1","Apaf1"
"1040","APBA1","Apba1"
"1041","APBA2","Apba2"
"1042","APBA3","Apba3"
"1043","APBB1","Apbb1"
"1044","APBB1IP","Apbb1ip"
"1045","APBB2","Apbb2"
"1046","APBB3","Apbb3"
"1047","APC","Apc"
"1048","APC2","Apc2"
"1049","APCDD1","Apcdd1"
"1050","APCDD1L","Apcdd1l"
"1051","APCS","Apcs"
"1052","APEH","Apeh"
"1053","APEX1","Apex1"
"1054","APEX2","Apex2"
"1055","APH1A","Aph1a"
"1056","APH1B","Aph1b"
"1057","API5","Api5"
"1058","APIP","Apip"
"1059","APLF","Aplf"
"1060","APLNR","Aplnr"
"1061","APLP1","Aplp1"
"1062","APLP2","Aplp2"
"1063","APMAP","Apmap"
"1064","APOA1","Apoa1"
"1065","APOA2","Apoa2"
"1066","APOA4","Apoa4"
"1067","APOA5","Apoa5"
"1068","APOB","Apob"
"1069","APOBEC1","Apobec1"
"1070","APOBEC2","Apobec2"
"1071","APOBEC3H","Apobec3"
"1072","APOBEC4","Apobec4"
"1073","APOBR","Apobr"
"1074","APOC2","Apoc2"
"1075","APOC3","Apoc3"
"1076","APOC4","Apoc4"
"1077","APOD","Apod"
"1078","APOE","Apoe"
"1079","APOH","Apoh"
"1080","APOL3","Apol11a"
"1081","APOL2","Apol2"
"1082","APOL3","Apol3"
"1083","APOL3","Apol9a"
"1084","APOLD1","Apold1"
"1085","APOM","Apom"
"1086","APOO","Apoo"
"1087","APOOL","Apool"
"1088","APP","App"
"1089","APPBP2","Appbp2"
"1090","APPL1","Appl1"
"1091","APPL2","Appl2"
"1092","APRT","Aprt"
"1093","APTX","Aptx"
"1094","AQP1","Aqp1"
"1095","AQP10","Aqp10"
"1096","AQP11","Aqp11"
"1097","AQP12B","Aqp12a"
"1098","AQP2","Aqp2"
"1099","AQP3","Aqp3"
"1100","AQP4","Aqp4"
"1101","AQP5","Aqp5"
"1102","AQP6","Aqp6"
"1103","AQP7","Aqp7"
"1104","AQP8","Aqp8"
"1105","AQP9","Aqp9"
"1106","AQR","Aqr"
"1107","AR","Ar"
"1108","ARAF","Araf"
"1109","ARAP1","Arap1"
"1110","ARAP2","Arap2"
"1111","ARAP3","Arap3"
"1112","ARC","Arc"
"1113","ARCN1","Arcn1"
"1114","AREG","Areg"
"1115","AREL1","Arel1"
"1116","ARF1","Arf1"
"1117","ARL17B","Arf2"
"1118","ARF3","Arf3"
"1119","ARF4","Arf4"
"1120","ARF6","Arf6"
"1121","ARFGAP1","Arfgap1"
"1122","ARFGAP2","Arfgap2"
"1123","ARFGAP3","Arfgap3"
"1124","ARFGEF1","Arfgef1"
"1125","ARFGEF2","Arfgef2"
"1126","ARFGEF3","Arfgef3"
"1127","ARFIP1","Arfip1"
"1128","ARFIP2","Arfip2"
"1129","ARFRP1","Arfrp1"
"1130","ARG1","Arg1"
"1131","ARG2","Arg2"
"1132","ARGLU1","Arglu1"
"1133","ARHGAP1","Arhgap1"
"1134","ARHGAP10","Arhgap10"
"1135","ARHGAP11A","Arhgap11a"
"1136","ARHGAP12","Arhgap12"
"1137","ARHGAP15","Arhgap15"
"1138","ARHGAP17","Arhgap17"
"1139","ARHGAP18","Arhgap18"
"1140","ARHGAP19","Arhgap19"
"1141","ARHGAP20","Arhgap20"
"1142","ARHGAP21","Arhgap21"
"1143","ARHGAP22","Arhgap22"
"1144","ARHGAP23","Arhgap23"
"1145","ARHGAP24","Arhgap24"
"1146","ARHGAP25","Arhgap25"
"1147","ARHGAP26","Arhgap26"
"1148","ARHGAP27","Arhgap27"
"1149","ARHGAP28","Arhgap28"
"1150","ARHGAP29","Arhgap29"
"1151","ARHGAP30","Arhgap30"
"1152","ARHGAP31","Arhgap31"
"1153","ARHGAP32","Arhgap32"
"1154","ARHGAP33","Arhgap33"
"1155","ARHGAP35","Arhgap35"
"1156","ARHGAP36","Arhgap36"
"1157","ARHGAP39","Arhgap39"
"1158","ARHGAP4","Arhgap4"
"1159","ARHGAP40","Arhgap40"
"1160","ARHGAP42","Arhgap42"
"1161","ARHGAP44","Arhgap44"
"1162","ARHGAP45","Arhgap45"
"1163","ARHGAP5","Arhgap5"
"1164","ARHGAP6","Arhgap6"
"1165","ARHGAP8","Arhgap8"
"1166","ARHGAP9","Arhgap9"
"1167","ARHGDIA","Arhgdia"
"1168","ARHGDIB","Arhgdib"
"1169","ARHGDIG","Arhgdig"
"1170","ARHGEF1","Arhgef1"
"1171","ARHGEF10","Arhgef10"
"1172","ARHGEF10L","Arhgef10l"
"1173","ARHGEF11","Arhgef11"
"1174","ARHGEF12","Arhgef12"
"1175","ARHGEF15","Arhgef15"
"1176","ARHGEF16","Arhgef16"
"1177","ARHGEF17","Arhgef17"
"1178","ARHGEF18","Arhgef18"
"1179","ARHGEF19","Arhgef19"
"1180","ARHGEF2","Arhgef2"
"1181","ARHGEF25","Arhgef25"
"1182","ARHGEF26","Arhgef26"
"1183","ARHGEF28","Arhgef28"
"1184","ARHGEF3","Arhgef3"
"1185","ARHGEF33","Arhgef33"
"1186","ARHGEF37","Arhgef37"
"1187","ARHGEF38","Arhgef38"
"1188","ARHGEF39","Arhgef39"
"1189","ARHGEF40","Arhgef40"
"1190","ARHGEF5","Arhgef5"
"1191","ARHGEF6","Arhgef6"
"1192","ARHGEF7","Arhgef7"
"1193","ARHGEF9","Arhgef9"
"1194","ARID1A","Arid1a"
"1195","ARID1B","Arid1b"
"1196","ARID2","Arid2"
"1197","ARID3A","Arid3a"
"1198","ARID3B","Arid3b"
"1199","ARID3C","Arid3c"
"1200","ARID4A","Arid4a"
"1201","ARID4B","Arid4b"
"1202","ARID5A","Arid5a"
"1203","ARID5B","Arid5b"
"1204","ARIH1","Arih1"
"1205","ARIH2","Arih2"
"1206","ARL1","Arl1"
"1207","ARL10","Arl10"
"1208","ARL11","Arl11"
"1209","ARL13A","Arl13a"
"1210","ARL13B","Arl13b"
"1211","ARL14","Arl14"
"1212","ARL14EP","Arl14ep"
"1213","ARL14EPL","Arl14epl"
"1214","ARL15","Arl15"
"1215","ARL16","Arl16"
"1216","ARL2","Arl2"
"1217","ARL3","Arl3"
"1218","ARL4A","Arl4a"
"1219","ARL4C","Arl4c"
"1220","ARL4D","Arl4d"
"1221","ARL5A","Arl5a"
"1222","ARL5B","Arl5b"
"1223","ARL5C","Arl5c"
"1224","ARL6","Arl6"
"1225","ARL6IP1","Arl6ip1"
"1226","ARL6IP4","Arl6ip4"
"1227","ARL6IP5","Arl6ip5"
"1228","ARL6IP6","Arl6ip6"
"1229","ARL8A","Arl8a"
"1230","ARL8B","Arl8b"
"1231","ARL9","Arl9"
"1232","ARMC1","Armc1"
"1233","ARMC10","Armc10"
"1234","ARMC12","Armc12"
"1235","ARMC2","Armc2"
"1236","ARMC3","Armc3"
"1237","ARMC5","Armc5"
"1238","ARMC6","Armc6"
"1239","ARMC8","Armc8"
"1240","ARMC9","Armc9"
"1241","ARMCX2","Armcx2"
"1242","ARMCX3","Armcx3"
"1243","ARMCX4","Armcx4"
"1244","ARMCX5","Armcx5"
"1245","ARMCX6","Armcx6"
"1246","ARMH1","Armh1"
"1247","ARMH2","Armh2"
"1248","ARMH3","Armh3"
"1249","ARMH4","Armh4"
"1250","ARMT1","Armt1"
"1251","ARNT","Arnt"
"1252","ARNT2","Arnt2"
"1253","ARPC1A","Arpc1a"
"1254","ARPC1B","Arpc1b"
"1255","ARPC2","Arpc2"
"1256","ARPC3","Arpc3"
"1257","ARPC4","Arpc4"
"1258","ARPC5","Arpc5"
"1259","ARPC5L","Arpc5l"
"1260","ARPC5L","Arpc5l-ps1"
"1261","ARPIN","Arpin"
"1262","ARPP19","Arpp19"
"1263","ARPP21","Arpp21"
"1264","ARR3","Arr3"
"1265","ARRB1","Arrb1"
"1266","ARRB2","Arrb2"
"1267","ARRDC1","Arrdc1"
"1268","ARRDC2","Arrdc2"
"1269","ARRDC3","Arrdc3"
"1270","ARRDC4","Arrdc4"
"1271","ARRDC5","Arrdc5"
"1272","ARSA","Arsa"
"1273","ARSB","Arsb"
"1274","ARSG","Arsg"
"1275","ARSI","Arsi"
"1276","ARSJ","Arsj"
"1277","ARSK","Arsk"
"1278","ARSL","Arsl"
"1279","ART1","Art1"
"1280","ART3","Art3"
"1281","ART4","Art4"
"1282","ART5","Art5"
"1283","ARTN","Artn"
"1284","ARV1","Arv1"
"1285","ARVCF","Arvcf"
"1286","ARX","Arx"
"1287","SPCS3","Arxes1"
"1288","SPCS3","Arxes2"
"1289","AS3MT","As3mt"
"1290","ASAH1","Asah1"
"1291","ASAH2","Asah2"
"1292","ASAP1","Asap1"
"1293","ASAP2","Asap2"
"1294","ASAP3","Asap3"
"1295","ASB1","Asb1"
"1296","ASB10","Asb10"
"1297","ASB11","Asb11"
"1298","ASB12","Asb12"
"1299","ASB13","Asb13"
"1300","ASB14","Asb14"
"1301","ASB15","Asb15"
"1302","ASB16","Asb16"
"1303","ASB17","Asb17"
"1304","ASB18","Asb18"
"1305","ASB2","Asb2"
"1306","ASB3","Asb3"
"1307","ASB4","Asb4"
"1308","ASB5","Asb5"
"1309","ASB6","Asb6"
"1310","ASB7","Asb7"
"1311","ASB8","Asb8"
"1312","ASB9","Asb9"
"1313","ASCC1","Ascc1"
"1314","ASCC2","Ascc2"
"1315","ASCC3","Ascc3"
"1316","ASCL1","Ascl1"
"1317","ASCL2","Ascl2"
"1318","ASCL3","Ascl3"
"1319","ASCL4","Ascl4"
"1320","ASCL5","Ascl5"
"1321","ASNSD1","Asdurf"
"1322","ASF1A","Asf1a"
"1323","ASF1B","Asf1b"
"1324","ASGR1","Asgr1"
"1325","ASGR2","Asgr2"
"1326","ASH1L","Ash1l"
"1327","ASH2L","Ash2l"
"1328","ASIC1","Asic1"
"1329","ASIC2","Asic2"
"1330","ASIC3","Asic3"
"1331","ASIC4","Asic4"
"1332","ASIC5","Asic5"
"1333","ASIP","Asip"
"1334","ASL","Asl"
"1335","ASMT","Asmt"
"1336","ASNS","Asns"
"1337","ASPA","Aspa"
"1338","ASPDH","Aspdh"
"1339","ASPG","Aspg"
"1340","ASPH","Asph"
"1341","ASPHD1","Asphd1"
"1342","ASPHD2","Asphd2"
"1343","ASPM","Aspm"
"1344","ASPN","Aspn"
"1345","ASPSCR1","Aspscr1"
"1346","ASRGL1","Asrgl1"
"1347","ASS1","Ass1"
"1348","ASTE1","Aste1"
"1349","ASTL","Astl"
"1350","ASTN1","Astn1"
"1351","ASTN2","Astn2"
"1352","ASXL1","Asxl1"
"1353","ASXL2","Asxl2"
"1354","ASXL3","Asxl3"
"1355","ASZ1","Asz1"
"1356","ATAD2B","Atad2b"
"1357","ATAD3A","Atad3a"
"1358","ATAD5","Atad5"
"1359","ATAT1","Atat1"
"1360","ATCAY","Atcay"
"1361","ATE1","Ate1"
"1362","ATF1","Atf1"
"1363","ATF2","Atf2"
"1364","ATF3","Atf3"
"1365","ATF4","Atf4"
"1366","ATF5","Atf5"
"1367","ATF6","Atf6"
"1368","ATF6B","Atf6b"
"1369","ATF7","Atf7"
"1370","ATF7IP","Atf7ip"
"1371","ATF7IP2","Atf7ip2"
"1372","ATG10","Atg10"
"1373","ATG101","Atg101"
"1374","ATG12","Atg12"
"1375","ATG13","Atg13"
"1376","ATG14","Atg14"
"1377","ATG16L1","Atg16l1"
"1378","ATG16L2","Atg16l2"
"1379","ATG2A","Atg2a"
"1380","ATG2B","Atg2b"
"1381","ATG3","Atg3"
"1382","ATG4B","Atg4b"
"1383","ATG4C","Atg4c"
"1384","ATG4D","Atg4d"
"1385","ATG5","Atg5"
"1386","ATG7","Atg7"
"1387","ATG9A","Atg9a"
"1388","ATG9B","Atg9b"
"1389","ATIC","Atic"
"1390","ATL1","Atl1"
"1391","ATL2","Atl2"
"1392","ATL3","Atl3"
"1393","ATM","Atm"
"1394","ATMIN","Atmin"
"1395","ATN1","Atn1"
"1396","ATOH1","Atoh1"
"1397","ATOH7","Atoh7"
"1398","ATOH8","Atoh8"
"1399","ATOSA","Atosa"
"1400","ATOSB","Atosb"
"1401","ATOX1","Atox1"
"1402","ATP10A","Atp10a"
"1403","ATP10B","Atp10b"
"1404","ATP10D","Atp10d"
"1405","ATP11A","Atp11a"
"1406","ATP11B","Atp11b"
"1407","ATP11C","Atp11c"
"1408","ATP12A","Atp12a"
"1409","ATP13A1","Atp13a1"
"1410","ATP13A2","Atp13a2"
"1411","ATP13A3","Atp13a3"
"1412","ATP13A4","Atp13a4"
"1413","ATP13A5","Atp13a5"
"1414","ATP1A1","Atp1a1"
"1415","ATP1A2","Atp1a2"
"1416","ATP1A3","Atp1a3"
"1417","ATP1A4","Atp1a4"
"1418","ATP1B1","Atp1b1"
"1419","ATP1B2","Atp1b2"
"1420","ATP1B3","Atp1b3"
"1421","ATP1B4","Atp1b4"
"1422","ATP23","Atp23"
"1423","ATP2A1","Atp2a1"
"1424","ATP2A2","Atp2a2"
"1425","ATP2A3","Atp2a3"
"1426","ATP2B1","Atp2b1"
"1427","ATP2B2","Atp2b2"
"1428","ATP2B3","Atp2b3"
"1429","ATP2B4","Atp2b4"
"1430","ATP2C1","Atp2c1"
"1431","ATP2C2","Atp2c2"
"1432","ATP4A","Atp4a"
"1433","ATP4B","Atp4b"
"1434","ATP5F1A","Atp5f1a"
"1435","ATP5F1B","Atp5f1b"
"1436","TAF3","Atp5f1c"
"1437","ATP5F1D","Atp5f1d"
"1438","ATP5F1E","Atp5f1e"
"1439","ATP5IF1","Atp5if1"
"1440","ATP5MC2","Atp5mc2"
"1441","ATP5MC3","Atp5mc3"
"1442","ATP5MF","Atp5mf"
"1443","ATP5MG","Atp5mg"
"1444","ATP5MK","Atp5mk"
"1445","ATP5MK","Atp5mk-ps2"
"1446","ATP5MJ","Atp5mpl-ps1"
"1447","ATP5PB","Atp5pb"
"1448","ATP5PD","Atp5pd"
"1449","ATP5PF","Atp5pf"
"1450","ATP5PO","Atp5po"
"1451","ATP6AP1","Atp6ap1"
"1452","ATP6AP2","Atp6ap2"
"1453","ATP6V0A1","Atp6v0a1"
"1454","ATP6V0A4","Atp6v0a4"
"1455","ATP6V0B","Atp6v0b"
"1456","ATP6V0C","Atp6v0c"
"1457","ATP6V0D1","Atp6v0d1"
"1458","ATP6V0D2","Atp6v0d2"
"1459","ATP6V0E1","Atp6v0e1"
"1460","ATP6V0E2","Atp6v0e2"
"1461","ATP6V1A","Atp6v1a"
"1462","ATP6V1B1","Atp6v1b1"
"1463","ATP6V1B2","Atp6v1b2"
"1464","ATP6V1C1","Atp6v1c1"
"1465","ATP6V1C2","Atp6v1c2"
"1466","ATP6V1D","Atp6v1d"
"1467","ATP6V1E1","Atp6v1e1"
"1468","ATP6V1E2","Atp6v1e2"
"1469","SPMIP1","Atp6v1fnb"
"1470","ATP6V1G2","Atp6v1g2"
"1471","ATP6V1G3","Atp6v1g3"
"1472","ATP6V1H","Atp6v1h"
"1473","ATP7A","Atp7a"
"1474","ATP7B","Atp7b"
"1475","ATP8A1","Atp8a1"
"1476","ATP8A2","Atp8a2"
"1477","ATP8B1","Atp8b1"
"1478","ATP8B2","Atp8b2"
"1479","ATP8B3","Atp8b3"
"1480","ATP8B4","Atp8b4"
"1481","ATP9A","Atp9a"
"1482","ATP9B","Atp9b"
"1483","ATPAF1","Atpaf1"
"1484","ATPAF2","Atpaf2"
"1485","ATPSCKMT","Atpsckmt"
"1486","ATR","Atr"
"1487","ATRIP","Atrip"
"1488","ATRN","Atrn"
"1489","ATRNL1","Atrnl1"
"1490","ATRX","Atrx"
"1491","ATXN1","Atxn1"
"1492","ATXN10","Atxn10"
"1493","ATXN1L","Atxn1l"
"1494","ATXN2","Atxn2"
"1495","ATXN2L","Atxn2l"
"1496","ATXN3","Atxn3"
"1497","ATXN7","Atxn7"
"1498","ATXN7L1","Atxn7l1"
"1499","ATXN7L2","Atxn7l2"
"1500","ATXN7L3","Atxn7l3"
"1501","ATXN7L3B","Atxn7l3b"
"1502","AUH","Auh"
"1503","AUNIP","Aunip"
"1504","AUP1","Aup1"
"1505","AURKA","Aurka"
"1506","AURKB","Aurkb"
"1507","AURKC","Aurkc"
"1508","AUTS2","Auts2"
"1509","AVEN","Aven"
"1510","AVIL","Avil"
"1511","AVL9","Avl9"
"1512","AVP","Avp"
"1513","AVPI1","Avpi1"
"1514","AVPR1A","Avpr1a"
"1515","AVPR1B","Avpr1b"
"1516","AVPR2","Avpr2"
"1517","AWAT1","Awat1"
"1518","AWAT2","Awat2"
"1519","AXDND1","Axdnd1"
"1520","AXIN1","Axin1"
"1521","AXIN2","Axin2"
"1522","AXL","Axl"
"1523","AZGP1","Azgp1"
"1524","AZI2","Azi2"
"1525","AZIN1","Azin1"
"1526","AZIN2","Azin2"
"1527","B2M","B2m"
"1528","B3GALNT1","B3galnt1"
"1529","B3GALNT2","B3galnt2"
"1530","B3GALT1","B3galt1"
"1531","B3GALT2","B3galt2"
"1532","B3GALT4","B3galt4"
"1533","B3GALT5","B3galt5"
"1534","B3GALT6","B3galt6"
"1535","B3GALT9","B3galt9"
"1536","B3GAT1","B3gat1"
"1537","B3GAT2","B3gat2"
"1538","EML3","B3gat3"
"1539","B3GLCT","B3glct"
"1540","B3GNT2","B3gnt2"
"1541","B3GNT3","B3gnt3"
"1542","B3GNT4","B3gnt4"
"1543","B3GNT5","B3gnt5"
"1544","B3GNT6","B3gnt6"
"1545","B3GNT7","B3gnt7"
"1546","B3GNT8","B3gnt8"
"1547","B3GNT9","B3gnt9"
"1548","B3GNTL1","B3gntl1"
"1549","B4GALNT1","B4galnt1"
"1550","B4GALNT2","B4galnt2"
"1551","B4GALNT3","B4galnt3"
"1552","B4GALNT4","B4galnt4"
"1553","B4GALT1","B4galt1"
"1554","B4GALT2","B4galt2"
"1555","B4GALT3","B4galt3"
"1556","B4GALT4","B4galt4"
"1557","B4GALT5","B4galt5"
"1558","B4GALT6","B4galt6"
"1559","B4GALT7","B4galt7"
"1560","B4GAT1","B4gat1"
"1561","B9D1","B9d1"
"1562","B9D2","B9d2"
"1563","BAALC","Baalc"
"1564","BAAT","Baat"
"1565","BABAM1","Babam1"
"1566","BABAM2","Babam2"
"1567","BACE1","Bace1"
"1568","BACE2","Bace2"
"1569","BACH1","Bach1"
"1570","BACH2","Bach2"
"1571","BAD","Bad"
"1572","BAG1","Bag1"
"1573","BAG2","Bag2"
"1574","BAG3","Bag3"
"1575","BAG4","Bag4"
"1576","BAG5","Bag5"
"1577","BAG6","Bag6"
"1578","BAHCC1","Bahcc1"
"1579","BAHD1","Bahd1"
"1580","BAIAP2","Baiap2"
"1581","BAIAP2L1","Baiap2l1"
"1582","BAIAP2L2","Baiap2l2"
"1583","BAIAP3","Baiap3"
"1584","BAK1","Bak1"
"1585","BAMBI","Bambi"
"1586","BANF1","Banf1"
"1587","BANF2","Banf2"
"1588","BANK1","Bank1"
"1589","BANP","Banp"
"1590","BAP1","Bap1"
"1591","BARD1","Bard1"
"1592","BARHL1","Barhl1"
"1593","BARHL2","Barhl2"
"1594","BARX1","Barx1"
"1595","BARX2","Barx2"
"1596","BASP1","Basp1"
"1597","BATF","Batf"
"1598","BATF2","Batf2"
"1599","BATF3","Batf3"
"1600","BAX","Bax"
"1601","BAZ1A","Baz1a"
"1602","BAZ1B","Baz1b"
"1603","BAZ2A","Baz2a"
"1604","BAZ2B","Baz2b"
"1605","BBC3","Bbc3"
"1606","BBIP1","Bbip1"
"1607","BBOF1","Bbof1"
"1608","BBOX1","Bbox1"
"1609","BBS1","Bbs1"
"1610","BBS10","Bbs10"
"1611","BBS12","Bbs12"
"1612","BBS2","Bbs2"
"1613","BBS4","Bbs4"
"1614","BBS5","Bbs5"
"1615","BBS7","Bbs7"
"1616","BBS9","Bbs9"
"1617","BBX","Bbx"
"1618","BCAM","Bcam"
"1619","BCAN","Bcan"
"1620","BCAP29","Bcap29"
"1621","BCAP31","Bcap31"
"1622","BCAR1","Bcar1"
"1623","BCAR3","Bcar3"
"1624","BCAS1","Bcas1"
"1625","BCAS2","Bcas2"
"1626","BCAS3","Bcas3"
"1627","BCAT1","Bcat1"
"1628","BCAT2","Bcat2"
"1629","BCCIP","Bccip"
"1630","BCDIN3D","Bcdin3d"
"1631","BCHE","Bche"
"1632","BCKDHA","Bckdha"
"1633","BCKDHB","Bckdhb"
"1634","BCL10","Bcl10"
"1635","BCL11A","Bcl11a"
"1636","BCL11B","Bcl11b"
"1637","BCL2","Bcl2"
"1638","BCL2A1","Bcl2a1"
"1639","BCL2L10","Bcl2l10"
"1640","BCL2L11","Bcl2l11"
"1641","BCL2L12","Bcl2l12"
"1642","BCL2L13","Bcl2l13"
"1643","BCL2L14","Bcl2l14"
"1644","BCL2L15","Bcl2l15"
"1645","BCL2L2","Bcl2l2"
"1646","BCL3","Bcl3"
"1647","BCL6","Bcl6"
"1648","BCL6B","Bcl6b"
